Book;Chapter;Character A;Character B;Relationship
George RR Martin: A Game of Thrones;52;Cersei Lannister;Eddard (Ned) Stark;negative
George RR Martin: A Game of Thrones;52;Cersei Lannister;Robert Baratheon;positive
George RR Martin: A Game of Thrones;52;Cersei Lannister;Sansa Stark;negative
George RR Martin: A Game of Thrones;52;Eddard (Ned) Stark;Sansa Stark;positive
George RR Martin: A Game of Thrones;52;Robert Baratheon;Sansa Stark;positive
George RR Martin: A Game of Thrones;53;Jeor Mormont;Jon Snow;positive
George RR Martin: A Game of Thrones;53;Jeor Mormont;Samwell (Sam) Tarly;neutral
George RR Martin: A Game of Thrones;53;Jon Snow;Samwell (Sam) Tarly;neutral
George RR Martin: A Game of Thrones;53;Jon Snow;Ser Allister Thorne;negative
George RR Martin: A Game of Thrones;54;Bran Stark;Osha;positive
George RR Martin: A Game of Thrones;54;Bran Stark;Robb Stark;positive
George RR Martin: A Game of Thrones;54;Bran Stark;Sansa Stark;negative
George RR Martin: A Game of Thrones;54;Robb Stark;Sansa Stark;negative
George RR Martin: A Game of Thrones;55;Daenerys Stormborn Targaryen;Illyrio Mopatis;negative
George RR Martin: A Game of Thrones;55;Daenerys Stormborn Targaryen;Khal Drogo;positive
George RR Martin: A Game of Thrones;55;Daenerys Stormborn Targaryen;Ser Jorah Mormont;positive
George RR Martin: A Game of Thrones;55;Illyrio Mopatis;Ser Jorah Mormont;negative
George RR Martin: A Game of Thrones;55;Khal Drogo;Ser Jorah Mormont;positive
George RR Martin: A Game of Thrones;56;Catelyn (Cat) Tully;Robb Stark;positive
George RR Martin: A Game of Thrones;56;Catelyn (Cat) Tully;Tywin Lannister;negative
George RR Martin: A Game of Thrones;56;Robb Stark;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;56;Robb Stark;Tywin Lannister;negative
George RR Martin: A Game of Thrones;57;Catelyn (Cat) Tully;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;57;Catelyn (Cat) Tully;Tywin Lannister;negative
George RR Martin: A Game of Thrones;57;Tyrion (The Imp) Lannister;Tywin Lannister;negative
George RR Martin: A Game of Thrones;58;Cersei Lannister;Sansa Stark;negative
George RR Martin: A Game of Thrones;58;Cersei Lannister;Ser Barristan Selmy;negative
George RR Martin: A Game of Thrones;58;Eddard (Ned) Stark;Robert Baratheon;negative
George RR Martin: A Game of Thrones;58;Eddard (Ned) Stark;Sansa Stark;positive
George RR Martin: A Game of Thrones;58;Robert Baratheon;Sandor (The Hound) Clegane;positive
George RR Martin: A Game of Thrones;58;Robert Baratheon;Sansa Stark;negative
George RR Martin: A Game of Thrones;58;Robert Baratheon;Ser Barristan Selmy;negative
George RR Martin: A Game of Thrones;58;Ser Barristan Selmy;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;59;Cersei Lannister;Eddard (Ned) Stark;negative
George RR Martin: A Game of Thrones;59;Cersei Lannister;Varys;negative
George RR Martin: A Game of Thrones;59;Eddard (Ned) Stark;Robert Baratheon;positive
George RR Martin: A Game of Thrones;59;Eddard (Ned) Stark;Sansa Stark;positive
George RR Martin: A Game of Thrones;59;Eddard (Ned) Stark;Varys;neutral
George RR Martin: A Game of Thrones;59;Petyr (Littlefinger) Baelish;Varys;negative
George RR Martin: A Game of Thrones;60;Arya Stark;Robb Stark;positive
George RR Martin: A Game of Thrones;60;Catelyn (Cat) Tully;Robb Stark;positive
George RR Martin: A Game of Thrones;60;Robb Stark;Tywin Lannister;negative
George RR Martin: A Game of Thrones;61;Eddard (Ned) Stark;Jon Snow;positive
George RR Martin: A Game of Thrones;61;Jeor Mormont;Jon Snow;positive
George RR Martin: A Game of Thrones;61;Jon Snow;Maester Aemon;positive
George RR Martin: A Game of Thrones;61;Jon Snow;Robb Stark;positive
George RR Martin: A Game of Thrones;62;Daenerys Stormborn Targaryen;Khal Drogo;positive
George RR Martin: A Game of Thrones;62;Daenerys Stormborn Targaryen;Ser Jorah Mormont;positive
George RR Martin: A Game of Thrones;62;Rhaegar Targaryen;Ser Jorah Mormont;positive
George RR Martin: A Game of Thrones;63;Robb Stark;Tywin Lannister;negative
George RR Martin: A Game of Thrones;63;Ser Jaime (The Kingslayer) Lannister;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;63;Tyrion (The Imp) Lannister;Tywin Lannister;negative
George RR Martin: A Game of Thrones;64;Cersei Lannister;Robb Stark;negative
George RR Martin: A Game of Thrones;64;Robb Stark;Theon Greyjoy;positive
George RR Martin: A Game of Thrones;64;Robb Stark;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;64;Robb Stark;Tywin Lannister;negative
George RR Martin: A Game of Thrones;64;Theon Greyjoy;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;64;Tyrion (The Imp) Lannister;Tywin Lannister;positive
George RR Martin: A Game of Thrones;65;Daenerys Stormborn Targaryen;Khal Drogo;positive
George RR Martin: A Game of Thrones;65;Daenerys Stormborn Targaryen;Ser Jorah Mormont;positive
George RR Martin: A Game of Thrones;66;Arya Stark;Eddard (Ned) Stark;positive
George RR Martin: A Game of Thrones;66;Arya Stark;Robert Baratheon;negative
George RR Martin: A Game of Thrones;66;Cersei Lannister;Eddard (Ned) Stark;negative
George RR Martin: A Game of Thrones;66;Cersei Lannister;Robert Baratheon;negative
George RR Martin: A Game of Thrones;66;Cersei Lannister;Varys;neutral
George RR Martin: A Game of Thrones;66;Eddard (Ned) Stark;Robert Baratheon;negative
George RR Martin: A Game of Thrones;66;Eddard (Ned) Stark;Ser Ilyn Payne;negative
George RR Martin: A Game of Thrones;66;Eddard (Ned) Stark;Varys;neutral
George RR Martin: A Game of Thrones;66;Robert Baratheon;Varys;negative
George RR Martin: A Game of Thrones;67;Bran Stark;Eddard (Ned) Stark;positive
George RR Martin: A Game of Thrones;67;Bran Stark;Maester Luwin;positive
George RR Martin: A Game of Thrones;67;Bran Stark;Osha;positive
George RR Martin: A Game of Thrones;67;Bran Stark;Rickon Stark;positive
George RR Martin: A Game of Thrones;67;Eddard (Ned) Stark;Rickon Stark;positive
George RR Martin: A Game of Thrones;67;Maester Luwin;Osha;neutral
George RR Martin: A Game of Thrones;67;Maester Luwin;Rickon Stark;neutral
George RR Martin: A Game of Thrones;68;Robb Stark;Sansa Stark;positive
George RR Martin: A Game of Thrones;68;Robert Baratheon;Sandor (The Hound) Clegane;neutral
George RR Martin: A Game of Thrones;68;Robert Baratheon;Sansa Stark;negative
George RR Martin: A Game of Thrones;68;Sandor (The Hound) Clegane;Sansa Stark;positive
George RR Martin: A Game of Thrones;69;Daenerys Stormborn Targaryen;Khal Drogo;positive
George RR Martin: A Game of Thrones;69;Daenerys Stormborn Targaryen;Ser Jorah Mormont;positive
George RR Martin: A Game of Thrones;70;Cersei Lannister;Tywin Lannister;negative
George RR Martin: A Game of Thrones;70;Eddard (Ned) Stark;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;70;Renly Baratheon;Tywin Lannister;negative
George RR Martin: A Game of Thrones;70;Robb Stark;Tyrion (The Imp) Lannister;negative
George RR Martin: A Game of Thrones;70;Robert Baratheon;Tywin Lannister;negative
George RR Martin: A Game of Thrones;70;Stannis Baratheon;Tywin Lannister;negative
George RR Martin: A Game of Thrones;70;Tyrion (The Imp) Lannister;Tywin Lannister;negative
George RR Martin: A Game of Thrones;71;Jeor Mormont;Jon Snow;positive
George RR Martin: A Game of Thrones;71;Jon Snow;Robb Stark;positive
George RR Martin: A Game of Thrones;71;Jon Snow;Samwell (Sam) Tarly;positive
George RR Martin: A Game of Thrones;72;Catelyn (Cat) Tully;Renly Baratheon;negative
George RR Martin: A Game of Thrones;72;Catelyn (Cat) Tully;Robb Stark;positive
George RR Martin: A Game of Thrones;72;Catelyn (Cat) Tully;Robert Baratheon;negative
George RR Martin: A Game of Thrones;72;Catelyn (Cat) Tully;Tywin Lannister;negative
George RR Martin: A Game of Thrones;72;Renly Baratheon;Robb Stark;negative
George RR Martin: A Game of Thrones;72;Robb Stark;Robert Baratheon;negative
George RR Martin: A Game of Thrones;72;Robb Stark;Tywin Lannister;negative
George RR Martin: A Game of Thrones;73;Daenerys Stormborn Targaryen;Ser Jorah Mormont;positive
George RR Martin: A Storm of Swords;2;Arya Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;2;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;2;Ser Davos Seaworth;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;3;Arya Stark;Sansa Stark;positive
George RR Martin: A Storm of Swords;3;Arya Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;4;Arya Stark;Sansa Stark;positive
George RR Martin: A Storm of Swords;4;Arya Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;5;Arya Stark;Sansa Stark;positive
George RR Martin: A Storm of Swords;5;Arya Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;5;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;5;Ser Davos Seaworth;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;6;Ser Davos Seaworth;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;6;Ser Davos Seaworth;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;7;King Joffrey Baratheon;Sansa Stark;negative
George RR Martin: A Storm of Swords;8;Jon Snow;Mance Rayder;neutral
George RR Martin: A Storm of Swords;9;Daenerys Tagaryen;Ser Davos Seaworth;positive
George RR Martin: A Storm of Swords;11;Melisandre;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;11;Ser Davos Seaworth;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;12;Ser Davos Seaworth;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;15;Arya Stark;Robb Stark;positive
George RR Martin: A Storm of Swords;16;Jon Snow;Mance Rayder;neutral
George RR Martin: A Storm of Swords;17;King Joffrey Baratheon;Sansa Stark;negative
George RR Martin: A Storm of Swords;17;Sansa Stark;Ser Davos Seaworth;neutral
George RR Martin: A Storm of Swords;20;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;21;Arya Stark;Robb Stark;positive
George RR Martin: A Storm of Swords;21;Robb Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;23;Arya Stark;Lady Catelyn Stark;positive
George RR Martin: A Storm of Swords;23;Arya Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;24;Daenerys Tagaryen;Ser Davos Seaworth;positive
George RR Martin: A Storm of Swords;26;Melisandre;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;26;Ser Davos Seaworth;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;29;King Joffrey Baratheon;Sansa Stark;negative
George RR Martin: A Storm of Swords;29;Sansa Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;30;Arya Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;31;Jon Snow;Mance Rayder;neutral
George RR Martin: A Storm of Swords;33;King Joffrey Baratheon;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;33;Sansa Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;36;Arya Stark;Robb Stark;positive
George RR Martin: A Storm of Swords;36;Arya Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;36;Robb Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;37;Melisandre;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;37;Melisandre;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;37;Ser Davos Seaworth;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;38;King Joffrey Baratheon;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;38;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;42;Jon Snow;Mance Rayder;negative
George RR Martin: A Storm of Swords;46;Arya Stark;Jon Snow;negative
George RR Martin: A Storm of Swords;46;Arya Stark;Robb Stark;negative
George RR Martin: A Storm of Swords;46;Jon Snow;Robb Stark;positive
George RR Martin: A Storm of Swords;49;Arya Stark;Jon Snow;positive
George RR Martin: A Storm of Swords;49;Bran Stark;Jon Snow;positive
George RR Martin: A Storm of Swords;50;Arya Stark;Robb Stark;positive
George RR Martin: A Storm of Swords;52;Arya Stark;Robb Stark;positive
George RR Martin: A Storm of Swords;53;Arya Stark;Lady Catelyn Stark;positive
George RR Martin: A Storm of Swords;53;Arya Stark;Robb Stark;positive
George RR Martin: A Storm of Swords;54;King Joffrey Baratheon;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;54;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;55;Melisandre;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;55;Melisandre;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;55;Ser Davos Seaworth;Stannis Baratheon;negative
George RR Martin: A Storm of Swords;57;Bran Stark;Samwell Tarly;positive
George RR Martin: A Storm of Swords;58;Daenerys Tagaryen;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;59;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;59;Ser Davos Seaworth;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;60;King Joffrey Baratheon;Sansa Stark;negative
George RR Martin: A Storm of Swords;60;King Joffrey Baratheon;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;60;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;61;King Joffrey Baratheon;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;61;Sansa Stark;Ser Davos Seaworth;neutral
George RR Martin: A Storm of Swords;61;Sansa Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;62;King Joffrey Baratheon;Sansa Stark;negative
George RR Martin: A Storm of Swords;62;Sansa Stark;Ser Davos Seaworth;positive
George RR Martin: A Storm of Swords;64;Melisandre;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;64;Melisandre;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;64;Ser Davos Seaworth;Stannis Baratheon;negative
George RR Martin: A Storm of Swords;66;Arya Stark;Jon Snow;positive
George RR Martin: A Storm of Swords;67;Sansa Stark;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;67;Ser Davos Seaworth;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;68;King Joffrey Baratheon;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;68;Ser Davos Seaworth;Tyrion Lannister;negative
George RR Martin: A Storm of Swords;69;Lady Catelyn Stark;Sansa Stark;negative
George RR Martin: A Storm of Swords;69;Sansa Stark;Ser Davos Seaworth;positive
George RR Martin: A Storm of Swords;70;Jon Snow;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;72;Daenerys Tagaryen;Ser Davos Seaworth;negative
George RR Martin: A Storm of Swords;73;Arya Stark;Tyrion Lannister;neutral
George RR Martin: A Storm of Swords;73;Sansa Stark;Tyrion Lannister;positive
George RR Martin: A Storm of Swords;74;Jon Snow;King Joffrey Baratheon;neutral
George RR Martin: A Storm of Swords;74;Jon Snow;Mance Rayder;neutral
George RR Martin: A Storm of Swords;74;King Joffrey Baratheon;Mance Rayder;negative
George RR Martin: A Storm of Swords;76;Jon Snow;Samwell Tarly;positive
George RR Martin: A Storm of Swords;77;Jon Snow;Melisandre;neutral
George RR Martin: A Storm of Swords;77;Jon Snow;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;79;Jon Snow;Samwell Tarly;positive
George RR Martin: A Storm of Swords;79;Melisandre;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;79;Samwell Tarly;Ser Davos Seaworth;neutral
George RR Martin: A Storm of Swords;79;Samwell Tarly;Stannis Baratheon;positive
George RR Martin: A Storm of Swords;80;Jon Snow;Samwell Tarly;positive
George RR Martin: A Storm of Swords;80;Jon Snow;Stannis Baratheon;positive
Gillian Flynn: Gone Girl;1;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;2;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;3;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;4;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;4;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;4;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;4;Jim Gilpin;Nick Dunne;neutral
Gillian Flynn: Gone Girl;4;Nick Dunne;Rhonda Boney;neutral
Gillian Flynn: Gone Girl;5;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;5;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;5;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;6;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;6;Marybeth Elliott;Nick Dunne;neutral
Gillian Flynn: Gone Girl;6;Nick Dunne;Rand Elliott;neutral
Gillian Flynn: Gone Girl;6;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;7;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;7;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;7;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;7;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;7;Marybeth Elliott;Nick Dunne;neutral
Gillian Flynn: Gone Girl;7;Nick Dunne;Rand Elliott;neutral
Gillian Flynn: Gone Girl;7;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;8;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;8;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;8;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;8;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;8;Marybeth Elliott;Nick Dunne;positive
Gillian Flynn: Gone Girl;8;Nick Dunne;Rand Elliott;positive
Gillian Flynn: Gone Girl;8;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;9;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;9;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;9;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;9;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;9;Marybeth Elliott;Nick Dunne;positive
Gillian Flynn: Gone Girl;9;Nick Dunne;Rand Elliott;positive
Gillian Flynn: Gone Girl;9;Nick Dunne;Rhonda Boney;neutral
Gillian Flynn: Gone Girl;10;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;10;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;10;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;11;Nick Dunne;Noelle Hawthorne;neutral
Gillian Flynn: Gone Girl;11;Nick Dunne;Rhonda Boney;neutral
Gillian Flynn: Gone Girl;11;Nick Dunne;Shawna Kelly;positive
Gillian Flynn: Gone Girl;11;Nick Dunne;Stucks Buckley;positive
Gillian Flynn: Gone Girl;12;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;12;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;12;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;13;Amy Elliott Dunne;Lonnie;neutral
Gillian Flynn: Gone Girl;13;Lonnie;Nick Dunne;neutral
Gillian Flynn: Gone Girl;13;Marybeth Elliott;Nick Dunne;positive
Gillian Flynn: Gone Girl;13;Nick Dunne;Rand Elliott;positive
Gillian Flynn: Gone Girl;13;Nick Dunne;Stucks Buckley;positive
Gillian Flynn: Gone Girl;14;Amy Elliott Dunne;Bill Dunne;negative
Gillian Flynn: Gone Girl;14;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;14;Amy Elliott Dunne;Noelle Hawthorne;neutral
Gillian Flynn: Gone Girl;14;Bill Dunne;Nick Dunne;neutral
Gillian Flynn: Gone Girl;15;Hilary Handy;Nick Dunne;negative
Gillian Flynn: Gone Girl;15;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;15;Nick Dunne;Noelle Hawthorne;negative
Gillian Flynn: Gone Girl;15;Nick Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;15;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;15;Nick Dunne;Shawna Kelly;negative
Gillian Flynn: Gone Girl;16;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;17;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;18;Desi Collings;Nick Dunne;negative
Gillian Flynn: Gone Girl;18;Ellen Abbott;Nick Dunne;negative
Gillian Flynn: Gone Girl;18;Nick Dunne;Shawna Kelly;negative
Gillian Flynn: Gone Girl;19;Amy Elliott Dunne;Nick Dunne;neutral
Gillian Flynn: Gone Girl;20;Desi Collings;Nick Dunne;neutral
Gillian Flynn: Gone Girl;20;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;20;Jim Gilpin;Rhonda Boney;neutral
Gillian Flynn: Gone Girl;20;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;21;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;21;Amy Elliott Dunne;Noelle Hawthorne;neutral
Gillian Flynn: Gone Girl;22;Marybeth Elliott;Nick Dunne;neutral
Gillian Flynn: Gone Girl;22;Nick Dunne;Noelle Hawthorne;negative
Gillian Flynn: Gone Girl;22;Nick Dunne;Rand Elliott;neutral
Gillian Flynn: Gone Girl;23;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;23;Bill Dunne;Nick Dunne;neutral
Gillian Flynn: Gone Girl;23;Nick Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;23;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;24;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;24;Amy Elliott Dunne;Noelle Hawthorne;positive
Gillian Flynn: Gone Girl;25;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;25;Marybeth Elliott;Nick Dunne;negative
Gillian Flynn: Gone Girl;25;Nick Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;25;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;26;Amy Elliott Dunne;Marybeth Elliott;negative
Gillian Flynn: Gone Girl;26;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;26;Amy Elliott Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;27;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;27;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;28;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;29;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;29;Nick Dunne;Tanner Bolt;neutral
Gillian Flynn: Gone Girl;30;Amy Elliott Dunne;Ellen Abbott;negative
Gillian Flynn: Gone Girl;30;Amy Elliott Dunne;Greta;positive
Gillian Flynn: Gone Girl;30;Amy Elliott Dunne;Noelle Hawthorne;negative
Gillian Flynn: Gone Girl;30;Marybeth Elliott;Nick Dunne;negative
Gillian Flynn: Gone Girl;30;Nick Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;30;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;30;Nick Dunne;Tommy O’Hara;positive
Gillian Flynn: Gone Girl;31;Amy Elliott Dunne;Greta;positive
Gillian Flynn: Gone Girl;31;Amy Elliott Dunne;Jeff;negative
Gillian Flynn: Gone Girl;31;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;31;Hilary Handy;Nick Dunne;positive
Gillian Flynn: Gone Girl;31;Nick Dunne;Rebecca;positive
Gillian Flynn: Gone Girl;31;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;32;Amy Elliott Dunne;Greta;negative
Gillian Flynn: Gone Girl;32;Amy Elliott Dunne;Jeff;negative
Gillian Flynn: Gone Girl;32;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;32;Amy Elliott Dunne;Rebecca;negative
Gillian Flynn: Gone Girl;33;Betsy Bolt;Nick Dunne;positive
Gillian Flynn: Gone Girl;33;Betsy Bolt;Tanner Bolt;positive
Gillian Flynn: Gone Girl;33;Nick Dunne;Tanner Bolt;negative
Gillian Flynn: Gone Girl;35;Betsy Bolt;Nick Dunne;positive
Gillian Flynn: Gone Girl;35;Betsy Bolt;Tanner Bolt;positive
Gillian Flynn: Gone Girl;35;Nick Dunne;Sharon Schieber;neutral
Gillian Flynn: Gone Girl;35;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;35;Rhonda Boney;Tanner Bolt;negative
Gillian Flynn: Gone Girl;36;Amy Elliott Dunne;Desi Collings;positive
Gillian Flynn: Gone Girl;36;Marybeth Elliott;Nick Dunne;negative
Gillian Flynn: Gone Girl;36;Nick Dunne;Rand Elliott;negative
Gillian Flynn: Gone Girl;36;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;36;Nick Dunne;Sharon Schieber;positive
Gillian Flynn: Gone Girl;36;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;36;Rhonda Boney;Tanner Bolt;negative
Gillian Flynn: Gone Girl;37;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;37;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;37;Jim Gilpin;Rhonda Boney;neutral
Gillian Flynn: Gone Girl;37;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;37;Nick Dunne;Tanner Bolt;positive
Gillian Flynn: Gone Girl;37;Rhonda Boney;Tanner Bolt;negative
Gillian Flynn: Gone Girl;38;Amy Elliott Dunne;Desi Collings;negative
Gillian Flynn: Gone Girl;38;Amy Elliott Dunne;Nick Dunne;positive
Gillian Flynn: Gone Girl;38;Desi Collings;Nick Dunne;negative
Gillian Flynn: Gone Girl;39;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;39;Bill Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;40;Amy Elliott Dunne;Desi Collings;negative
Gillian Flynn: Gone Girl;41;Jim Gilpin;Nick Dunne;negative
Gillian Flynn: Gone Girl;41;Nick Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;41;Nick Dunne;Tanner Bolt;neutral
Gillian Flynn: Gone Girl;41;Rhonda Boney;Tanner Bolt;negative
Gillian Flynn: Gone Girl;42;Amy Elliott Dunne;Desi Collings;negative
Gillian Flynn: Gone Girl;43;Amy Elliott Dunne;Desi Collings;negative
Gillian Flynn: Gone Girl;43;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;43;Desi Collings;Nick Dunne;negative
Gillian Flynn: Gone Girl;44;Amy Elliott Dunne;Desi Collings;negative
Gillian Flynn: Gone Girl;44;Amy Elliott Dunne;Rhonda Boney;negative
Gillian Flynn: Gone Girl;45;Amy Elliott Dunne;Jacqueline Collings;negative
Gillian Flynn: Gone Girl;45;Amy Elliott Dunne;Nick Dunne;negative
Gillian Flynn: Gone Girl;45;Amy Elliott Dunne;Tanner Bolt;negative
